,x1,x2,y,Prediction,Error
0,-0.4891141366200658,0.8560989357799038,0,0,0
1,0.827367828532815,0.17970903159793059,0,1,1
2,0.5163290482311234,-0.8071081387229434,0,1,1
3,-0.3654433755389939,0.6361409548429406,1,0,1
4,-0.032701579907876116,-0.6600473722568562,1,0,1
5,-0.7471569995545712,0.4617397246997313,0,0,0
6,0.8694116463235201,-0.3566072881696118,1,1,0
7,0.7846069255702597,0.144218643457696,1,1,0
8,0.6674579893000971,0.5235619081673519,0,1,1
9,0.49457862002533315,-0.9167468422584294,0,1,1
10,-0.6129746013904498,-0.48785820392583296,1,1,0
11,-1.083362033216213,-0.11395800588165665,0,1,1
12,1.0706875129857139,-0.5739497321421186,0,1,1
13,-0.4534114960501482,0.6199784557855851,1,0,1
14,-0.05146305121758568,-1.138920378388018,0,1,1
15,-0.6627134347115389,-0.7042032541749111,0,0,0
16,0.8328226637500684,0.11870403302934679,1,1,0
17,-0.7537936757130511,-0.8217384042853784,0,1,1
18,0.815993621464977,0.36768960920432947,0,1,1
19,1.1667114591777206,-0.35752824437483105,0,1,1
20,0.03275585982018277,0.8252782350249008,1,0,1
21,0.8489855002950233,-0.26086794891481796,0,1,1
22,0.7188918599225754,0.3310494384148081,1,1,0
23,0.37996569845863015,0.5966061083149964,1,0,1
24,0.8222999686897244,0.36351993346754896,0,1,1
25,-0.12214621248948776,0.9392016593410867,0,0,0
26,-0.8170586222456652,-0.35892387010690663,1,0,1
27,0.3681475164397809,0.5668129157202828,1,0,1
28,-0.2299882073770122,-0.6970425008607202,1,0,1
29,0.3869720251384505,-0.6293949759454018,1,1,0
30,-0.05316182595498216,-0.8500095476465634,1,0,1
31,-0.11581349339145151,1.074708522934245,0,0,0
32,-1.0141183586882627,0.2995603986440092,0,0,0
33,-0.8234670973859819,-0.02971002054484484,0,0,0
34,-0.914888981094207,0.1652806377380889,0,0,0
35,-0.7725322655831047,0.29816981855702274,1,0,1
36,-0.7849078401219486,-0.16241167124043485,0,1,1
37,-0.6583271142476945,0.5927122560320226,0,0,0
38,-0.1655837016015665,0.6001210603004326,1,0,1
39,-0.8897900956109837,-0.6974206069401016,0,0,0
40,-0.3879253839472346,-0.8224079020239031,0,1,1
41,-0.7662785133876254,0.012218411829239426,1,1,0
42,-0.47657000819037004,0.408142294707165,1,0,1
43,-0.9616409951239757,0.06577517718206713,0,0,0
44,-0.6902876960697871,-0.3400182247596638,1,1,0
45,-0.6114286939465878,-0.9562138592121364,0,0,0
46,0.9267026835600058,0.2224342605494657,1,1,0
47,0.5696270465561402,-0.33149440258114315,1,1,0
48,-0.5877085091058968,0.7055351628348319,0,0,0
49,-0.4753383917312643,-0.7928721489586813,1,1,0
50,0.528090866379652,-0.7076933830705825,0,1,1
51,0.6340981027021098,-0.9083992468488431,1,1,0
52,-0.7389370431511564,-0.07081595036965073,1,1,0
53,-0.47718785306935674,0.8866927337239986,0,0,0
54,0.550566466638275,-0.3872440930842902,1,1,0
55,-0.25873138952020286,0.815985903097495,1,0,1
56,0.605118314989696,0.3221563815492701,1,1,0
57,-0.7112279219317053,0.5603592439851842,0,0,0
58,-0.23785499525172726,-0.7961513134096676,1,0,1
59,0.5136622946285019,-0.7812289939338086,1,1,0
60,0.9640927207362473,-0.5186948369729258,0,1,1
61,-0.0031069067543387924,-0.9462605013106837,0,1,1
62,0.24262805777804344,-0.8416133663223093,0,1,1
63,0.5226453352538456,0.5800507815968403,1,1,0
64,0.7062973269043271,0.2194368293170547,1,1,0
65,-0.607076985878771,0.11152450541483556,1,0,1
66,0.6485718300273645,0.9251555042570904,0,1,1
67,0.031231035209107375,-0.8918679628697204,1,1,0
68,-1.0553990815017278,-0.41291809582037864,0,1,1
69,-0.15121787444293755,-0.797132641535566,0,0,0
70,0.09445054253853707,0.730690524953135,1,1,0
71,-0.6033115406436946,-0.5069159367209871,1,1,0
72,1.0658358474261997,0.18871717181024542,0,1,1
73,0.4024853362727958,1.0208064154273793,0,1,1
74,-0.6105562194586478,0.6102743373979548,0,0,0
75,-0.8361654333717063,0.2246643826956521,1,0,1
76,0.776654192041482,-0.5085795325642121,0,1,1
77,-0.3322469811360129,-0.8396145305533533,0,1,1
78,0.45179383755597946,0.7483668193941448,1,1,0
79,-0.9285163410621077,-0.5766620786872858,0,1,1
80,0.4932187640314718,0.7899856930804473,0,1,1
81,0.9684178366751459,-0.1971362482066848,0,1,1
82,0.49404820565363405,-0.37160964361432863,1,1,0
83,0.09910778518046018,0.9838615063248042,0,0,0
84,0.8536957795674259,0.36804356123661675,0,1,1
85,-0.054371616664047356,0.7406937482946004,1,0,1
86,0.3267598354983091,0.7357548987910815,1,0,1
87,0.40171561754258744,-0.5750741561008406,1,1,0
88,0.8873604611597184,-0.07099707291623247,1,1,0
89,0.8943034562366526,0.3588503477558462,0,1,1
90,0.41409906739413566,-0.8514448963761635,0,1,1
91,-0.7643516589148068,-0.1616087782430827,1,1,0
92,0.39519853631953566,0.9032022309945479,0,1,1
93,-0.8698928404723723,0.28557296030716645,1,0,1
94,0.07112271719573575,-0.7744103011039258,1,1,0
95,0.06916796753900543,0.7997482591248148,1,0,1
96,-0.7412452498469169,0.5022962766647866,1,1,0
97,-0.4557897464565157,-0.4789019741059184,1,1,0
98,0.19251334575795795,1.0260077517361785,0,1,1
99,0.7330651361375274,-0.4238419754978398,1,1,0
